,Topic,Pledge,Pledge status,PreProcessedText
347,25,"Our House Himmelfahrt builds on three pillars: tradition (vacation since 460 years), sustainability (360 degree SDG orientation) and accessibility (36 measures to guarantee full accessibility). 

In order to implement the objective of providing accessible tourism services we commit to the following three actions:
a. by June 2023: revitalise our structure and thereby realising full-fledged accessibility by design. The revitalisation will build on the EU strategy for the rights of persons with disabilities (2021-2030) and aim at showcasing how accessibility and tourism are synergetic twins rather than foes;
b. by July 2023: implement 36 measures aiming at fostering accessibility. These measures will guarantee that not only the structure itself but also bathrooms, kitchens, bedrooms etc take the needs of persons with reduced mobility fully into account;
c. by August 2023: turn from hardware to software and publish our access-strategy on our website and promote accessible tourism amongst local actors but also - via online tools - at international level. The ambition is to showcase that fully accessible tourism is possible without having to compromise in design and without the risk of losing attractivity amongst persons who are not dependent on fully accessible destinations.",Ready for publishing,house himmelfahrt build three pillar tradition vacation since year sustainability degree sdg orientation accessibility measure guarantee full accessibility order implement objective providing accessible tourism service commit follow three action june revitalise structure thereby realise full fledge accessibility design revitalisation build eu strategy right person disability aim showcasing accessibility tourism synergetic twin rather foe july implement measure aim foster accessibility measure guarantee structure also bathrooms kitchen bedroom etc take need person reduce mobility fully account august turn hardware software publish access strategy website promote accessible tourism amongst local actor also via online tool international level ambition showcase fully accessible tourism possible without compromise design without risk lose attractivity amongst person dependent fully accessible destination
348,25,"ISTO, through its Working Group on Accessible Tourism will published in 2023 ""Recommendations Guide"" on accessibility to tourism event (two previous guides have been published in 2021 and 2022 on other topics related to accessible tourism) and will be part of the Steering Committee of the 3rd International Summit ""Destinations for All"" organized in Paris in 2023.      

ISTO is the only international network dedicated to promote better access (financial, physical, cultural and educational) to travel, leisure and holiday and at the same time promote and support forms of tourism that benefit people, communities and local areas. Provide examples and cases that can inspired stakeholders from different EU countries interested by this this issue.",Published,isto work group accessible tourism publish recommendation guide accessibility tourism event two previous guide publish topic related accessible tourism part steer committee rd international summit destination organize paris isto international network dedicate promote well access financial physical cultural educational travel leisure holiday time promote support form tourism benefit people community local area provide example case inspired stakeholder different eu country interested issue
349,25,"Inclusivity is one of the core values of our destination NL. We find it of great importance to make our destination accessible to everyone. Accessibilty is a theme in Perpective 2030, our national vision for the Tourism Industry. Regarding Web Accessibilty, NBTC actively manages compliance of its digital channels with the WCAG. Also, we encourage/stimulate our local partners and SME's to do the same, by continuously sharing knowledge and how to's on this subject, in order to prepare them to comply with the European Accessibility Act. Each year an online knowledge session is organized for partners.",Ready for publishing,inclusivity one core value destination nl find great importance make destination accessible everyone accessibilty theme perpective national vision tourism industry regard web accessibilty nbtc actively manage compliance digital channel wcag also encourage stimulate local partner sme continuously share knowledge subject order prepare comply european accessibility act year online knowledge session organize partner
350,25,"Every single thing accessible to every single person. This is our moto here at the Pafos region in Cyprus. 
Special focus till 2025 will be the implementation of more initiatives tailored designed especially for Visually impaired people and people with physical disabilities. 
The Braille signage system will be expanded further with more than 15 signs in the medieval castle, mosaics floors and other places of interest. Further beach equipment for physical disabilities  will be added in three more beaches of the destination. Specific “Accessible” routes will be introduced at the UNESCO Archaeological park while initiatives to provide accessibility for all will be further enhanced.  When it comes to accessibility to info, our aim is to continuously update and evaluation the information resources. Focus on well designed, accessible web sites expedite the delivery of information and services.  Furthermore a study will take place throughout the current year in association with a local university in the  order to reappraised the current status and update our policy for accessibility. Then we may also consider applying for the  ENAT code of good conduct.",Ready for publishing,every single thing accessible every single person moto pafos region cyprus special focus till implementation initiative tailor design especially visually impaired people people physical disability braille signage system expand sign medieval castle mosaic floor place interest beach equipment physical disability add three beach destination specific accessible route introduce unesco archaeological park initiative provide accessibility enhance come accessibility info aim continuously update evaluation information resource focus well design accessible web sit expedite delivery information service furthermore study take place throughout current year association local university order reappraise current status update policy accessibility may also consider apply enat code good conduct
351,25,"Action 1: Collection of information on the characteristics of accommodation facilities and services to improve the visibility of accessible tourist services
Action 2: Implementation of face-to-face and online training courses, structured for the various categories of tourist services operators, to raise awareness, motivate and prepare them for the reception of tourists with special needs
Action 3: Creation of new aids, tools, equipment and services to improve the accessibility of tourist destinations 

Target 1: 100% of the data collected are published on dedicated regional websites and/or available to regional IATs (local info points for tourists) by 2025
Target 2: Implementation of at least 10 training modules to deliver to regional tourist services operators by 2025
Target 3: Installation/implementation of new aids, tools, equipment, services in 9 coastal municipalities by 2025",Ready for publishing,action collection information characteristic accommodation facility service improve visibility accessible tourist service action implementation face face online training course structure various category tourist service operator raise awareness motivate prepare reception tourists special need action creation new aid tool equipment service improve accessibility tourist destination target data collect publish dedicated regional website available regional iats local info point tourists target implementation least training module deliver regional tourist service operator target installation implementation new aid tool equipment service coastal municipality
352,25,"TOURISM FOR ALL; TOURISM WITHOUT OBSTACLES
Current situation: The service Accessible Zagreb is a developmental project aimed at mapping and providing information on the accessibility of surfaces and facilities in the area of the City of Zagreb. The service is available through web pages and as a mobile application, and it provides information about the accessibility of various facilities from public, private and civil sectors. The base currently comprises approximately 2,500 facilities categorised as accessible, inaccessible or partially accessible. There are three levels of accessibility: access to the facility, entrance to the building and interior of the building. Also, each facility contains a photo gallery showing accessibility status, and the service is integrated with Google Maps for easier navigation and travel planning. The application Accessible Zagreb currently contains eight categories (culture, catering, education, sports, administration, services, social welfare and health) and is available in Croatian and in English and German languages.
The service has also developed an accessibility map which, integrated with Google Maps service, shows an accessible pedestrian route for the disabled within a mapped area which currently encompasses the wider centre of the City, while the navigation recognises/avoids the following obstacles or disturbances on sidewalks: stairs, high kerbs, uneven ground surfaces, insufficiently wide sidewalks, excessive side walk slopes. The service is mostly used by the citizens of Zagreb, but it should be made visible to tourists and visitors of the City. 
Measure: Examining the needs which would be additionally interesting to disabled visitors and tourists and those with special needs, translating the Service into other global languages and additional promotion towards eminent markets.
Objective: The goal is to have the service completely adapted to all persons with special needs or to the disabled and to have it available in at least two other global languages by 2024.",Published,tourism tourism without obstacle current situation service accessible zagreb developmental project aim map provide information accessibility surface facility area city zagreb service available web page mobile application provide information accessibility various facility public private civil sector base currently comprise approximately facility categorise accessible inaccessible partially accessible three level accessibility access facility entrance building interior building also facility contain photo gallery show accessibility status service integrate google map easy navigation travel plan application accessible zagreb currently contain eight category culture cater education sport administration service social welfare health available croatian english german language service also develop accessibility map integrate google map service show accessible pedestrian route disable within mapped area currently encompass wide centre city navigation recognise avoids follow obstacle disturbance sidewalks stairs high kerb uneven ground surface insufficiently wide sidewalk excessive side walk slope service mostly use citizen zagreb make visible tourist visitor city measure examine need would additionally interest disabled visitor tourists special need translate service global languages additional promotion towards eminent market objective goal service completely adapt person special need disable available least two global language
353,25,"Our goal is to monitor reliable information that allows people with accessibility needs to understand if the structures of the tourism chain are adequate to their needs by extending the current V4A Network to other countries besides Italy, Croatia and San Marino through the use of V4AInside Software.
V4AInside has been developed based on accessibility studies and analysis of the needs expressed by customers with specific needs and/or disabilities during national and international projects and ""best practices"".
For which tourists does V4AInside collect information? 
The system collects information useful to: people with disabilities (permanent or temporary), motor, sensory limitations (blind and deaf), food allergies and intolerances, the elderly, diabetics, dialysis, obese people and families with small children. 
For which nationalities of tourists is Village for all Inside able to provide information?
The system collects objective information, measurements, data, dimensions, etc... and these are of an objective information and as such are of support to people of any nationality.
Is V4AInside a national accessibility assessment system?
The system does not evaluate accessibility but collects data that allow people to evaluate the facilities according to their abilities/aspirations and for this reason it can be used in any country. It does not evaluate according to the regulations in force in any of the European and non-European countries and the platform is multilingual.
Who can use V4AInside?
The application has been developed to be used by qualified inspectors who have followed a specific training course organized by Village for all®. Does V4AInside guarantee accessibility?
The system allows you to verify the quality of the information collected by the Village for all inspectors. The information collected is used to understand the organisation of the structure, services and spaces, so that each customer, based on their specific needs, disabilities or needs is able to assess whether they meet their request for accessibility.
 For which tourist facilities does V4AInside collect information? Hotels, restaurants, bathing establishments, tourist villages, museums, palaces, monuments, etc... are to date 28 different types of facilities on which this application can be used.
How does V4AInside help improve accessibility?
At the end of the audit, thanks to a specially developed algorithm, a list of interventions and possible improvements (removal of architectural and organizational barriers such as menus for coeliacs, communication such as communication/information systems for the deaf and/or blind, etc.) aimed at improving hospitality for all customers is drawn up.
What accessibility standards does V4AInside suggest?
The reference point for the identification of improvement interventions for the structures reviewed are the ISO 21542:2011 Building construction standard. Accessibility and usability of the built environment, with some improvements compared to the standards.
V4AInside also guarantees: 
•	assurance of the quality of the information 
•	containment of the possibility of error 
•	guarantees the same result regardless of the detector 
•	creation of a recognisable and reliable information standard for the end user and the professional user (TO/adv) 
•	reduction of costs and time taken into account 
•	reduction of the time taken to disseminate the results 
•	final output allows the surveyed structures to increase their accessibility and at the same time to raise awareness of the entrepreneurs involved 
•	pluri-lingual embodiment 
•	allows the execution of multiple contextual audits, e.g. Italian Hospitality Brand - V4A® 
•	the application is easily implementable with other evaluation paths 
Objective 2025 – 500 accommodation facilities
Objective 2030 – 2000 accommodation facilities

V4AInside for Destination4All
Not only the individual facilities but also the tourist destinations with the Destination4All brand.
Today there are 2 tourist destinations that have started the Destination4All route and another 2 are being activated.
By 2025 we expect to have 25 D4A tourist destinations
By 2030 we expect to have 100 D4A Tourist Destinations
The D4A Brand is intended for DMOs, consortia, tourism companies, Associations

An important step that brings cities closer to the UNU 2030 Goals on Inclusive Cities - Goal 11.",Ready for publishing,goal monitor reliable information allow people accessibility need understand structure tourism chain adequate need extend current va network country besides italy croatia san marino use vainside software vainside develop base accessibility study analysis need express customer specific need disability national international project best practice tourist vainside collect information system collect information useful people disability permanent temporary motor sensory limitation blind deaf food allergy intolerances elderly diabetic dialysis obese people family small child nationality tourist village inside able provide information system collect objective information measurement data dimension etc objective information support people nationality vainside national accessibility assessment system system evaluate accessibility collect data allow people evaluate facility accord ability aspiration reason use country evaluate accord regulation force european non european country platform multilingual use vainside application develop use qualified inspector follow specific train course organize village vainside guarantee accessibility system allow verify quality information collect village inspector information collect used understand organisation structure service space customer base specific need disability need able ass whether meet request accessibility tourist facility vainside collect information hotel restaurant bath establishment tourist village museum palace monument etc date different type facility application use vainside help improve accessibility end audit thanks specially develop algorithm list intervention possible improvement removal architectural organizational barrier menus coeliacs communication communication information system deaf blind etc aim improve hospitality customer draw accessibility standard vainside suggest reference point identification improvement intervention structure review iso building construction standard accessibility usability build environment improvement compare standard vainside also guarantee assurance quality information containment possibility error guarantee result regardless detector creation recognisable reliable information standard end user professional user adv reduction cost time take account reduction time take disseminate result final output allows survey structure increase accessibility time raise awareness entrepreneur involve pluri lingual embodiment allow execution multiple contextual audit italian hospitality brand va application easily implementable evaluation path objective accommodation facility objective accommodation facility vainside destinationall individual facility also tourist destination destinationall brand today tourist destination start destinationall route another activate expect da tourist destination expect da tourist destination da brand intend dmos consortium tourism company association important step bring city closer unu goal inclusive city goal
354,25,"Goals:
-	The share of approved accommodation with an A or A+ label increases by 25% by 2030 and 5% by 2024, compared with 2021.
-	All core conference locations  within the conference cities and the conference locations financed by Visit Flanders have the M label by 2030. 
-	All conference locations that are part of the Flanders Heritage Venues and Special Meeting venues engage in an accessibility project by 2030 with a view to maximising accessibility. 
-	The satisfaction score of international residential tourists with regard to the hospitality of the local population in the art cities, regions and the coast amounts to at least 200 (in the Travelsat statistics, currently 170).

Actions:
2.1.1	Accessibility is always included as a basic condition  in all grant applications, projects, quality trajectories and concession agreements.
2.1.2	We supplement our plan for hospitality and local ambassadorship.
2.1.3	Through the accommodation grants we continue to stimulate investment in accessibility in tourism accommodation. We are also examining whether Visit Flanders can once again support accessible investments in youth accommodation.
2.1.4	We are considering how we can introduce certain target groups to Flanders’ tourism offer more effectively and how we can optimally communicate information about accessibility.
2.1.5	The support programme related to the accessibility of conference locations will be continued and expanded. 
2.1.6	We are developing a method to determine satisfaction with the hospitality of the local population in the regions and at the coast.",Published,goal share approve accommodation label increase compare core conference location within conference city conference location finance visit flanders label conference location part flanders heritage venue special meeting venue engage accessibility project view maximise accessibility satisfaction score international residential tourist regard hospitality local population art city region coast amount least travelsat statistic currently action accessibility always include basic condition grant application project quality trajectory concession agreement supplement plan hospitality local ambassadorship accommodation grant continue stimulate investment accessibility tourism accommodation also examine whether visit flanders support accessible investment youth accommodation consider introduce certain target group flanders tourism offer effectively optimally communicate information accessibility support programme relate accessibility conference location continue expanded develop method determine satisfaction hospitality local population region coast
355,26,"AViTeM cooperate with other stakeholders across Europe and the Mediterranean through territorial cooperation projects, to support tourism models that benefit the resident communities and do not cause harm to their quality of life.
By 2025/2030, we expect that our projects will have reduced the negative impacts of tourism on the resident communities, and will have supported tourism models that put the residents at the center, along with the visitors. This will include the application of behavioural science-based measures and solutions.",Published,avitem cooperate stakeholder across europe mediterranean territorial cooperation project support tourism model benefit resident community harm quality life expect project reduce negative impact tourism resident community support tourism model put resident center along visitor include application behavioural science base measure solution
356,26,"Booking.com has launched the LGBTQ+ Travel badge to help LGBTQ+ customers to find the most welcoming places to stay. 
The rainbow suitcase badge indicates that a partner has completed our Proud Hospitality training, a 75-minute session to help partners improve the quality of the experience they provide to LGBTQ+ guests. The badge gives LGBTQ+ travelers more peace of mind when booking and helps partners to be more inclusive in their hospitality.
The training is available to all our partners in English and to further support its roll-out and accessibility we are translating the video and supporting materials. By the end of 2022 the training will be available in 5 EU languages in addition to English. By the end of 2022, as the training video and materials are translated, we will have launched the Travel Proud campaign in 7 EU Member States. More languages will be added in the course of the next years. 
Cities with multiple Proud Certified properties will be showcased on a designated Travel Proud page, where travelers can learn more about the initiative, and find & book Proud Certified properties.",Published,book com launch lgbtq travel badge help lgbtq customer find welcoming place stay rainbow suitcase badge indicate partner complete proud hospitality train minute session help partner improve quality experience provide lgbtq guest badge give lgbtq traveler peace mind book helps partner inclusive hospitality training available partner english support roll accessibility translate video support material end train available eu languages addition english end training video material translate launched travel proud campaign eu member state languages added course next year city multiple proud certify property showcased designate travel proud page traveler learn initiative find book proud certify property
357,26,"In the second axis of Bordeaux roadmap for tourism (""Placing the inhabitant at the heart of tourism in a destination that espouses social conscience and solidarity""), two actions are focusing on creating a tourism offering for residents: 
- Boost local tourism by assembling initiatives in the city’s communes to identify a network of activities that can be structured and promoted (objectives of 8 new products in 2022, 50% of occupancy rates on 'local' products with 80% of local clients)
- Give more emphasis to the inhabitant’s role in receiving tourists (ambassador programme to be created in 2023)

The action sheets: https://fr.calameo.com/read/005365752988738931087?page=54",Published,second axis bordeaux roadmap tourism place inhabitant heart tourism destination espouse social conscience solidarity two action focus create tourism offering resident boost local tourism assemble initiative citys commune identify network activity structure promote objective new product occupancy rate local product local client give emphasis inhabitant role receive tourist ambassador programme create action sheet
358,26,"The tourism services sector is the one that requires the most attention from all actors. Maramures county has a very generous tourist potential, that must be doubled by accompanied tourist services. For the next period, we intend, through the Maramures Destination Management Organization, to support the operators in terms of both diversifying the portfolio of tourist services and improving their quality. By 2030, we expect to reach international standards in terms of the tourist services we offer.",Published,tourism service sector one require attention actor maramures county generous tourist potential must double accompanied tourist service next period intend maramures destination management organization support operator term diversify portfolio tourist service improve quality expect reach international standard term tourist service offer
359,26,"EcoMarine Malta services are based on Sustainable tourism. We offer Marine Life Spotting Experiences through sustainable and educational boat excursions. We aim to educate, and with an expert marine biologist
onboard, we also conduct scientific research to increase awareness and protect and conserve the dolphins
living in Maltese waters. We enable visitors to connect with the sea around the Maltese Islands on a fully - equipped sailing boat with up to 12 people on board. Children and adults will be able to encounter dolphins, turtles and seabirds in their natural habitat, guided by an expert marine biologist. Moreover, we follow an International Code of Conduct to protect the animals.
We like to define our experience as ""Slow tours"" with no predefined stops and no rush to return. Our services provide educational, relaxing and fun experiences for visitors, residents, families or work teams throughout the year, benefiting from and contributing to the rich local marine wildlife. 
Targets until 2025 include: 
Increase the summer experiences by up to five weekly tours in the high season June – September (16 weeks) involving up to 720 customers. 
Increase the fall, winter, and spring activities by up to two tours per week (28 weeks) involving up to 500 customers. 
Expand the fleet to two boats to double the winter numbers and offer Marine Life Spotting in Malta and weekly experiences during the high season.  
Increase by 60% the presence of tourists on board while continuing to share our experiences with Maltese customers and ex-pats living in Malta permanently.",Published,ecomarine malta service base sustainable tourism offer marine life spot experience sustainable educational boat excursion aim educate expert marine biologist onboard also conduct scientific research increase awareness protect conserve dolphin live maltese water enable visitor connect sea around maltese island fully equip sail boat people board child adult able encounter dolphin turtle seabird natural habitat guide expert marine biologist moreover follow international code conduct protect animal like define experience slow tour predefined stops rush return service provide educational relaxing fun experience visitor resident family work team throughout year benefit contribute rich local marine wildlife target include increase summer experience five weekly tour high season june september week involve customer increase fall winter spring activity two tour per week week involve customer expand fleet two boat double winter number offer marine life spot malta weekly experience high season increase presence tourists board continue share experience maltese customer ex pat live malta permanently
360,26,"- EGWA commits to enhance the promotion of activities for all types of user’s locals and tourists by 
a) producing 1 Guide to sports activities on greenways aimed at very different groups (2023-2024). Will be produced as part of EU project SIGWAY (Sport on greenways - Erasmus Sport call), in cooperation with project partners and EGWA members. 
b) publish at least 2 News/Year from 2022 to 2025 on activities on greenways that increase the variety and diversity of the tourist offer to enjoy authentic experiences linked to local people, resources and traditions (e.g. active and safe mobility for daily commuting  to school, work, shopping; sports activities; local consumption, proposing visits to attractions and activities (cheese tasting, local markets, . ...) and thus contributing to a better understanding of the customs of people from other countries/territories, important for both hosts and tourists.",Published,egwa commits enhance promotion activity type user local tourist produce guide sport activity greenway aim different group produce part eu project sigway sport greenway erasmus sport call cooperation project partner egwa member publish least news year activity greenways increase variety diversity tourist offer enjoy authentic experience link local people resource tradition active safe mobility daily commute school work shopping sport activity local consumption propose visit attraction activity cheese taste local market thus contribute well understanding custom people country territory important host tourist
361,26,"1) concrete action for upcoming years 
• All the actions outlined for Topic 25 will encompass local communities as well as visitors 

2) measurable target to help following the implementation of the action 
• Targets outlined for Topic 25 will encompass local communities as well as visitors

3) clear link to a specific transition pathway topic or a general objective (green, digital, resilient).
• The general objectives and actions of Topic 25 will encompass local communities as a well as visitors, supporting a more resilient Tourism for All.",Published,concrete action upcoming year action outline topic encompass local community well visitor measurable target help follow implementation action target outline topic encompass local community well visitor clear link specific transition pathway topic general objective green digital resilient general objective action topic encompass local community well visitor support resilient tourism
362,26,"Within the framework of ISTO's Observatory, development of new indicators in order to have new/updated data regarding access to travel and tourism services and the impact of new tourism services and products for both visitors and residents. By 2025, these indicators will allow to measure the development of tourism services for visitors and residents.      

As specialized organization dedicated to promote better access to travel and holidays, especially for young people, low income family, seniors and retired personas as well as for people with disabilities, we have among our network a great expertise in terms of knowledge, experience and good practices that we can share with other EU stakeholders. It is important to ensure that more EU citizens can participate in the tourism activity as too many are excluded for different types of reasons.",Published,within framework isto observatory development new indicator order new update data regard access travel tourism service impact new tourism service product visitor resident indicator allow measure development tourism service visitor resident specialized organization dedicate promote good access travel holiday especially young people low income family senior retire personas well people disability among network great expertise term knowledge experience good practice share eu stakeholder important ensure eu citizen participate tourism activity many exclude different type reason
363,26,"Through the NL brand, NBTC is strengthening the positioning of the Netherlands as a destination for 'open minded people'. NBTC emphasises core NL values, including Open and Inclusive, in its marketing activities and campaigns reaching .
In our Resident Profits programme, municipalities, other public authorities and knowledge institutes are working together. Knowledge is exchanged and helped with insights and practical tools.The aim is that residents experience more benefit than nuisance from tourism, an increase in support for tourism among residents. We want residents' benefit to be an integral part of national and provincial tourism policy.  We will publish a framework Q2 2023 for this and update our best practices toolkit with new cases every year.",Ready for publishing,nl brand nbtc strengthen position netherlands destination open mind people nbtc emphasis core nl value include open inclusive marketing activity campaign reach resident profit programme municipality public authority knowledge institute work together knowledge exchange help insights practical tool aim resident experience benefit nuisance tourism increase support tourism among resident want resident benefit integral part national provincial tourism policy publish framework update best practice toolkit new case every year
364,26,"SmartGuide enables SMEs, such as tour operators or even private guides to leverage the SmartGuide platform to introduce self-guided tours and make visible the local specificities. The most exciting travel content is now usually in the brains of top local guides that are hard to scale and most tourists don’t get guided by a personal guide. SmartGuide allows guides to share their local knowledge in a scalable manner with a much broader audience of independent tourists who would not take a tour. Tour operators can publish their SmartGuides easily and for free or sell them to earn extra revenue and only pay SmartGuide a small share of what they earn. This provides also interesting opportunities to share local knowledge also between residents from different generations and cultural groups.

By 2023 SmartGuide pledges to develop dedicated support for rural regions that require slightly different content architecture than urban destinations where SmartGuide focused until now. New functions will be developed and piloted in Moldova with the national tourism organization and UNDP and then made available to other rural regions in the second half of 2023.",Published,smartguide enable smes tour operator even private guide leverage smartguide platform introduce self guide tour make visible local specificity excite travel content usually brain top local guide hard scale tourist get guide personal guide smartguide allow guide share local knowledge scalable manner much broad audience independent tourist would take tour tour operator publish smartguides easily free sell earn extra revenue pay smartguide small share earn provide also interesting opportunity share local knowledge also resident different generation cultural group smartguide pledge develop dedicated support rural region require slightly different content architecture urban destination smartguide focus new function develop pilot moldova national tourism organization undp make available rural region second half
365,26,"POSITIVE DIRECTING OF TOURISTS OUTSIDE OF THE CITY CENTRE
Current situation: The circulation of tourists in the City of Zagreb is mainly taking place in the very centre where they spend on average less than two days. Considering the growing tourist circulation, it is likely that there would be a negative impact on the very centre of the City. For that reason it is necessary to take a positive initiative and redirect tourists towards other City areas, not so much known to the them, but with tourist potential as well. This is how a possible negative impact on the quality of life in the City can be reduced.  
Measure: Mapping the City zones, with their specificities including cultural, sporting, recreational and gastronomy offer, through interviews and workshops with various stakeholders, and creation of a platform primarily aimed at tourists, but also to the citizens of Zagreb.
Objective: The goal is to achieve more balanced and sustainable development of tourism in the City of Zagreb by 2023, resulting in extended stay of tourists, citizens’, visitors’ and tourists’ getting a complete idea of the City, its customs, culture, creation of additional experience, improvement of the citizens’ quality of life and by inclusion of the so far-unknown offer in the tourist map of the City of Zagreb. Introduction of the abovementioned measuress will provide the local government with tools to monitor tourist preferences during their stay and to manage its tourist policy more efficiently.",Published,positive direct tourist outside city centre current situation circulation tourist city zagreb mainly take place centre spend average less two day consider grow tourist circulation likely would negative impact centre city reason necessary take positive initiative redirect tourist towards city area much know tourist potential well possible negative impact quality life city reduce measure map city zone specificity include cultural sport recreational gastronomy offer interview workshops various stakeholder creation platform primarily aim tourist also citizens zagreb objective goal achieve balance sustainable development tourism city zagreb result extend stay tourist citizens visitor tourist get complete idea city custom culture creation additional experience improvement citizen quality life inclusion far unknown offer tourist map city zagreb introduction abovementioned measuress provide local government tool monitor tourist preference stay manage tourist policy efficiently
366,26,"• TUI Musement (TUI’s tours and activities business) will offer excursion certified as sustainable by an independent organization, according to criteria set by the Global Sustainable Tourism Council. This process was launched in April 2022 to all TUI Musement destinations to be implemented across all markets. Priority will be given to TUI Collection and Shorex products.
• TUI aims to have all TUI Collection experiences (approx. 650) certified by summer 2023, as well as a large part of the Shorex portfolio.
• Once suppliers have successfully passed the questionnaire and scored 70% or higher, they will receive a diploma as evidence that they have passed this process. We cannot provide them with a GSTC certificate, as we are not a certifying body.",Published,tui musement tuis tour activity business offer excursion certify sustainable independent organization accord criterion set global sustainable tourism council process launch april tui musement destination implement across market priority give tui collection shorex product tui aim tui collection experience approx certify summer well large part shorex portfolio supplier successfully pass questionnaire score higher receive diploma evidence pass process can not provide gstc certificate certifying body
367,26,"Goals:
-	The share of residents indicating that an increasing number of tourists are reducing the liveability of art cities and regions remains below 25%.
-	The share of the top three months in total overnight stays does not exceed 40%. 
-	At least 40% of residents of the art cities indicate that they have a say in ideas about tourism developments in the city.
-	90% of Visit Flanders' contacts in the tourism sector are familiar with the Travel to Tomorrow Vision and 75% of this group agree with the vision. 

Actions:
2.5.1	In our product development and communication, we focus on distributing visitors in time and space via our themes.
2.5.2	We work with partners to monitor and safeguard an area’s liveability. 
2.5.3	We continue to work on expanding support for the Travel to Tomorrow vision and sustainable entrepreneurship in the tourism sector, including through the Travel to Tomorrow Academy.
2.5.4	We look at how we assess liveability within the context of tourism in the ambassador study.",Published,goal share resident indicate increase number tourist reduce liveability art city region remain share top three month total overnight stay exceed least resident art city indicate say idea tourism development city visit flanders contact tourism sector familiar travel tomorrow vision group agree vision action product development communication focus distribute visitor time space via theme work partner monitor safeguard area liveability continue work expand support travel tomorrow vision sustainable entrepreneurship tourism sector include travel tomorrow academy look assess liveability within context tourism ambassador study
368,27,"Through its cooperation work with several tourism actors in France and across Europe, AViTeM plays an active role in spreading information about funding opportunities for tourism institutions, practitioners and organisations. This includes not only sharing information, but also helping these actors to get in touch with each other and to co-develop new cooperation projects. This work will be continued until 2025 and beyond, as it forms part of our core mission.",Published,cooperation work several tourism actor france across europe avitem play active role spread information funding opportunity tourism institution practitioner organisation include share information also help actor get touch co develop new cooperation project work continued beyond form part core mission
369,27,"- EGWA commits to:  
a) disseminate best practices from EU funded projects linked to sustainable tourism, to inspire new projects, producing and disseminating at least 8 news on examples of EU funded projects until 2025 (2 news /year), and inform members of updated information on funding opportunities for tourism. 
b) Promote at least 2 new projects on sustainable tourism, greenways related, with European funds; from 2022 -2025 (on-going).",Published,egwa commits disseminate best practice eu fund project link sustainable tourism inspire new project produce disseminate least news example eu fund project news year inform member update information funding opportunity tourism promote least new project sustainable tourism greenway relate european fund go
370,27,"IN2destination provides support to tourism actors in accessing funding opportunities, such as providing information on funding programs and assisting with grant applications. Our actions include identifying funding opportunities for tourism actors, conducting research and developing funding proposals, and providing guidance and assistance throughout the application process. Our concrete target for 2030 is to at least develop 2 podcasts 1 webinar and 1 international event where funding opportunities are disseminated.",Ready for publishing,indestination provide support tourism actor access funding opportunity provide information funding program assist grant application action include identify funding opportunity tourism actor conduct research develop funding proposal provide guidance assistance throughout application process concrete target least develop podcasts webinar international event funding opportunity disseminate
371,27,"Use the annual organisation (in June of each year) of ISTO's International Week ""Fair and Responsible Tourism for All"" to organize an online or onsite event allowing the presentation of updated information on ""EU funding guide for tourism"". This could take place in 2023 and continue on an annual basis.   

As network with members in more than 40 countries, we can disseminate information related to funding opportunities at EU level.",Published,use annual organisation june year isto international week fair responsible tourism organize online onsite event allow presentation update information eu funding guide tourism could take place continue annual basis network member country disseminate information relate funding opportunity eu level
