,Topic,Pledge,Pledge status
295,21,"The involvement of educational organizations in the development and renewal of tourism education is also on our agenda. We want a close collaboration with these institutions which can offer, through some specialists, consultancy regarding the studied curriculum. By 2030 we expect to achieve this goal as well, in close collaboration with the county school inspectorate",Published
296,21,"Costa Group's purpose is to become a positive transformative force for travel and tourism industry. 
Leveraging on the capabilities of our ships, our network of partners and the Costa Crociere Foundation, we have the ambition to create the world largest responsible travelers community on board our ships. 

We are taking the commitment by 2025 to educate about 50.000 students across Europe to take care of the coasts and the sea. So far, we’re already more than halfway.",Published
297,21,"One of EcoMarine Malta tourism operations' pillars is sharing Ocean Literacy knowledge. It is about gaining experiences by engaging in practical activities while answering these questions:
What does the environment do for us?
What do we do for the environment?
What can we do to protect it?
We promote educational tourism for people of all ages and support studying Marine Biology in schools. We swap the traditional classroom for an outdoor area, a boat, a shore, a beach or the open sea. You can find more information on our educational collaborations at www.ecomarinemalta.com.mt  

The concrete targets are:
-   To engage at least five schools in these activities each year until 2025
-   Participate and organize in collaboration with EIT- Climate Kick hub Malta and MCAST  two events, ""Young innovators Climathon"", each year until 2025, one during the summer and one during the winter.",Published
298,21,"EFFAT fully agrees that new skills profiles have to be incorporated in existing vocational education and training policy and curricula, through cooperation between education authorities, social partners and institutions for vocational and higher education.

EFFAT acknowledges that in most Member States, employers' associations and trade unions are involved in vocational education and training, and are permanently working on developing and modernising qualification and training, and to adapting it to new skills needs.
One example are the new curricula for hospitality professions in Germany, elaborated between BIBB, DEHOGA and NGG, concluded on 9 March 2022 and published in the Bundesgesetzblatt on 14 March 2022:
- Verordnung zur Neuordnung der Ausbildung in den Hotel- und Gastronomieberufen 
- Verordnung über die Berufsausbildung zum Koch und zur Köchin
- Verordnung über die Berufsausbildung zur Fachkraft Küche
(see attached)

https://www.bgbl.de/xaver/bgbl/start.xav?startbk=Bundesanzeiger_BGBl&start=//*[@attr_id=%27bgbl122s0314.pdf%27]#__bgbl__%2F%2F*%5B%40attr_id%3D%27bgbl122s0314.pdf%27%5D__1654006068889

EFFAT pledges to:
- continue collecting examples of the modernisation of vocational education and training via its national member organisations
- share examples of successful adaptation
  > with social partners in the Sectoral Social Dialogue Committees (SSDC) Horeca and Contract Catering
  > with EU institutions and tourism stakeholders in the framework of the Pact for Skills in Tourism, the European Year of Skills 2023, the Tourism Transition Pathway, the European Alliance for Apprenticeships

The concrete target is to share examples of successful modernisation of VET curricula and incorporation of new skills needs through at least 4 knowledge sharing events and/or publications yearly, aiming to reach tourism education stakeholders in all interested Members States.",Ready for publishing
299,21,"EnviroNaut’s project consortium has 6 members, 2 of them are Universitites (The National Technical University of Athens (NTUA) and Frederick University). Therefore, this project is a clear example of how the educational organisations can participate in the renewal of tourism education, in particular nautical tourism.
As mentioned above, EnviroNaut project is committed to developing a skilling (or re-skilling) course for nautical tourism workers, helping them to become more sustainable in their work and better prepared for the needs of the industry and the demands of consumers (whose interest in sustainable choices has increased considerably). 
Thanks to the partnership that has created the EnviroNaut project, the NTUA and Frederick University are fully committed to the project's objectives and are actively collaborating in the development of this pioneering and necessary course, which will be available from January 2024",Published
300,21,"Our association's goal for 2030 is to bring 20% increase in available human resources to organized tourism. The main area of work for us will be the training of young people, trying to create a real tourism culture at school and university level.

Activities to be carried out:

- Through existing collaborations with universities, FTO aims to revise training plans and graduate and postgraduate paths to have a more performing training with the needs of SMEs.

- By collaborating with various institutions scattered throughout the country, FTO will work to develop higher education courses, in high schools, designed to train new travel agents and travel designers with the necessary skills to work in sectors such as business travel and booking.

- All the activities put in place will fully involve: university professors, teachers, entrepreneurs and people from institutions, so that structured paths can be defined that will delve into all the issues of tourism at 360 degrees.",Ready for publishing
301,21,"IN2destination engages with educational organizations, such as universities and vocational schools, to promote sustainable tourism education and develop training programs for tourism professionals. Our actions include collaborating with educational institutions to integrate sustainable tourism principles into their curricula, organizing workshops and training programs for tourism educators, and providing mentoring support for students interested in sustainable tourism careers. Our concrete target for 2030 is to participate in the process of transforming at least 2 tourism training programs to match the skillset needed in the market.",Ready for publishing
302,21,"Metropolitan University Prague includes new skill profiles in the curriculum of university education for students and professional training for associations and business entities. Within the Norwegian Funds, the Metropolitan University of Prague and the Norwegian University of Stavanger realise a project focused on the innovation of the study of accessible and sustainable tourism. An ongoing project (2020-2023) addresses an important topic of accessible tourism. The collaboration leads to knowledge exchange, curricula and course development and learning for all stakeholders, and will impact both future education and research.  

At Metropolitan University Prague, several courses have been developed and innovated to raise awareness about issues relating to accessible tourism among tourism students. Learning more about accessible tourism and potential barriers to travelling can be one of the approaches. Other approaches could be to get students to practically plan tourist travel or a conference for a larger group of persons with reduced mobility. The teaching of accessible tourism does not exist to such an extent at any other university in the Czech Republic.  Metropolitan university Prague´s students will have the opportunity to gain experience with the issue of people with disabilities. Graduates of the study program at MUP can use the knowledge of accessible tourism in their future jobs and contribute to the development of this socially responsible sector. The advantage of the proposed courses is the practically oriented focus of lectures and seminars. The courses are co-created and lectured by experts from Petra, o.p.s. This non-profit company has many years of experience with clients with disabilities.",Ready for publishing
303,21,"Foundation ""Kutsekoda"" is conducting OSKA applied research surveys on sectoral needs for labour and skills by using a combination of qualitative and quantitative research methods and analysing professional qualifications across all levels of education. For this purpose, both statistical data and information collected from personal interviews with sectoral experts and from group discussions are used.

A thorough study on hotel, restaurant and tourism sector skills and labour need was conducted in 2018, followed by special study ""Impact of the economic crisis caused by COVID-19 on changes in labor and skills needs: accommodation, catering, tourism"". In 2022 foundation ""Kutsekoda"" will conduct a monitoring report on implementation of the proposals of these studies.",Published
304,21,"Mirabilia Network has experimented, designed, and implemented multiple training courses aimed at companies or projects on topics related to a slower greener tourism offer. In this context, Mirabilia commits to the development of a Master in “Management of cultural heritage for tourism development” (Mirabilia Master) promoted by the Chamber of Commerce of Umbria (https://www.umbria.camcom.it/) to train new highly specialized professionals in the management and knowledge of Unesco sites. The Master takes place in the facilities of the University of Perugia. The Mirabilia Master in “Cultural Heritage Management for tourism development,” combines teaching with ground experiences, held in networking with SMEs in the tourism ecosystem in the following cities: Perugia, Terni, Assisi, Castiglione del Lago, Foligno, Gubbio, Narni. The internships take place at identified places/companies in accordance with Mirabilia and the Chamber of Commerce. The Master programme allows for four scholarships, two funded by Mirabilia and two funded by the University of Perugia. The scholarships cover enrolment fees. We plan to train 30 students by 2025. Currently, the programme is ongoing as a pilot, we commit to extending it further if the uptake is successful.",Ready for publishing
305,21,"Extremadura is committed, through a Professional Training Plan for Tourism and Hospitality, to improving the skills of people actively seeking employment in the tourism and hospitality sector in Extremadura. To achieve this aim, by 2023, there will be offered in Vocational Training Schools in the region: 480 places for proving knowledge in Tourism Marketing; 510 places for proving knowledge in Sustainability; 1,605 places for proving knowledge in Quality and Professionalization; 210 places for proving knowledge in Innovation Domain and 400 places for proving knowledge in Technology Domain.

A monitoring committee will be set up to monitor the Plan, consisting of the Secretariat-General for Employment, the Directorate-General for Tourism and the social and economic partners: The Regional Business Confederation of Extremadura, the General Union of Workers of Extremadura and the Workers’ Commissions of Extremadura. This committee shall meet to review the progress of this training plan and shall be held every six months. A six-monthly evaluation of this training plan will be carried out with co-participation.",Published
306,21,"While allowing for an inclusive recovery, UNWTO has also placed education as a key priority as the basis for added value jobs. For this reason, the UNWTO pledges through its Tourism Online Academy to amplify its impact by allowing the global audience to develop vocational and managerial skills for tourism and hospitality with 20 courses from top institutions and multiplying its number of students coming from all regions, currently they are more than 18,000.. 

Some of the key topics are: 

o	Tourism Destinations Management
o	International Tourism and Travel Law
o	Artificial Intelligence in Hospitality
o	Food and Beverage Operations
o	Hotel Revenue Management
o	Branding
o	Sustainability
o	Customer Experience

For enrolling into the Massive Online Open Courses (MOOCs) and Open Certificate Programmes (OCPs), enter: https://www.unwto-tourismacademy.ie.edu",Published
307,21,"Higher education institutions and VET providers with explicit tourism profiles will be at the core of our initiatives and become the main drivers for contributing to developing and renewing tourism education. It is planned to involve universities and VET providers from the following Regions Szeged (Hungary), Tirol (Austria), Helsinki (Finnland)

Target Measures 2025:
3+ universities, 3 VETs to engage in developing and renewing tourism education across min. 3 countries reaching out to 200+ learners (already active or supposedly soon becoming active tourism workforce)

Target Measures 2030:
6+ universities, 6 VETs to engage in developing and renewing tourism education across min. 6 countries 200+ learners (already active or supposedly soon becoming active tourism workforce)",Published
308,21,"Within the project Concientur -Tourism and Research, our organization commits to 

-	Engaging with at least 10 schools to involve their students in a contest related to tourism and research, considering the tourism pathway as a reference. This action is due to 2025

-	Designing educational international seminars with the UNESCO chair on Ttourism and Sustainable Economic Development at University of Las Palmas of Gran Canaria. We commit to conduct at least three international seminars between 2022-2025, covering topics such as Tourism and Women in Africa, Sustainable Tourism and digital tourism,  and other topics related to the Transition Pathway for Tourism.",Published
309,22,"To implement a specific training program oriented to develop soft skills among our employees, creating motivational environment and reinforcing goal oriented supervision and management. The target is to train 100% employees every year and to have them all trained by year 2025.",Ready for publishing
310,22,"The tourism and hospitality sector is structurally unsuccessful in attracting staff and retaining staff in the long term. The turnover in the sector is relatively high, which has increased further due to the COVID pandemic and the temporary closure of large parts of the sector. In addition, the student intake for education within the hospitality domain (Leisure, Tourism & Hospitality domain) is falling at the VET and Higher Education level.

The Dutch Taskforce for Cooperation in the Leisure, Tourism and Hospitality Sector has included 'Developing a (qualitative and quantitative) knowledge infrastructure for human-capital issues in the leisure, tourism and hospitality sector' in its new Action Agenda. A separate working group, consisting of representatives of industry organisations as well as the Ministry of EZK, CELTH and Breda University of Applied Sciences as one of the partner universities of applied sciences, has taken up this action. The parties work together – in a triple helix context – on a sustainable labor market, in which problems and solutions are identified and efforts are made to attract, train and retain (future) professionals for the domain in a sustainable manner. Since challenges and solutions can differ per sector and per region, insight, elaboration and implementation are needed at national, sectoral and regional levels.

Specifically, the parties raise the following points for attention, which should be involved in the approach and agenda development:

1. Provide data, knowledge and insight
2. Develop a common vision on sustainable employment practices
3. Develop a common vision on education, education and training
4. Ensure a joint approach to labor market communication.

Based on previous work done in the Next Tourism Generation project (https://nexttourismgeneration.eu), Breda University of Applied Sciences provided a research methodology to assess current skills gaps and future skills needs. The Skills Assessment Methodology (SAM) is a tool that has been designed to identify current and future workforce skills at a national or regional level. As a key element of the Blueprint Strategy, the NTG Skills Assessment Methodology was developed as a research-based, structural mechanism for the analysis of rapidly changing skills and skills needs to develop strategies for addressing skills gaps in the EU Tourism Sector. The focus of the SAM are the skillsets necessary for the future of the workforce, specifically: digital, green and social skills.

The benefit of the SAM is that it can be used at multiple levels: regional, national or international, adding flexibility and improving feasibility. Although it was developed for assessing digital, green and social skills needs in five tourism subsectors, it can be easily expanded and used to address skills needs in other tourism ecosystems.

The SAM has been used in eight European countries to create a skills profile of the tourism sector and to formulate a response strategy. This resulted in the production of eight skills reports on current skills gaps and future skills needs. The SAM will be rolled out in at least five other European countries in the coming four years. 

Additionally, new Skills Assessment activities will be carried out throughout the PANTOUR project where Breda University of Applied Sciences leads the research approach on Skills Intelligence. The goal is to ensure a continuous and sustainable supply of Skills Intelligence that feed into sector-wide curricula, integrating work-based learning in the tourism ecosystem and addressing urgent skills needs.

The sustainability of the PANTOUR project is partly based on developing a European Quality Framework that partner countries and other EU members can use to standardise cross-institute recognition of relevant modules and training content. 

Breda University of Applied Sciences develops and shares knowledge on current skills gaps and future skills needs, with an objective to develop a continuous and sustainable supply of Skills Intelligence that SMEs, educational institutions and other training providers can use to develop tourism-related curricula and practical courses to meet the most urgent needs. This Skills Intelligence Mechanism would be available for tourism training providers (as open access) by the year 2023.",Published
311,22,"EFFAT is signatory to the Pact for Skills for Tourism (PfST) and has informed its member organisations about the setting up of national or regional skills partnerships.

EFFAT reminded the PfST support structures that given the fact that in most EU Member States the social partners, i.e. employers and trade unions, are involved in vocational education and training, any new structures created under the PfST need to build on or at least involve the ongoing VET work and its actors.

EFFAT regularly attends the PfST Coordination Group meetings, and, together with HOTREC, is member of the PfST Management Committee in the category of social partners.

In November 2023, EFFAT, in cooperation with its social partner HOTREC, is planning an event in the context of the European Year of Skills, to present joint recommendations on vocational education and training and skills  in the hospitality sector, inviting DG EMPL and DG GROW and a wide range of hospitality-tourism stakeholders.
during 2024-2025, these recommendations will be followed up by monitoring and regular reporting of their implementation in the context of the Sectoral Social Dialogue Committee Horeca.",Ready for publishing
312,22,"We are signatories to the pact of skills for tourism and fundamentally believe just transition principles. We see the pact for skills as an opportunity to adapt workers to a changing economy and tourism industry as part of this just transition. When jobs are being lost, skills should be provided to adapt workers to new jobs in tourism and beyond and this is our primary concern.

Together with EFFAT and UNI Europa, we will meet annually in the EU Trade Union Liaison Committee on Tourism (ETLC) where the pact for skills will be discussed. This item will be a core piece of our work with the ETLC as we continue to adapt our workers to the needs of the tourism industry.",Ready for publishing
313,22,"As a cross-sectional business representatives of TOURISM and HEALTH CARE, our problem of staff shortages is even more dramatic than in other areas of the tourism industry.  Consequence of the labour intensity in health tourism and relatively high level of skills required interdisciplinary sector between health care and tourism struggles to find employees with the mixed skills. Invest in flexible education tools, to encourage the improvement of personal and responsible healthy lifestyle of all citizens and to be able to change skilled works between tourism and health - depend on the needs. 
Boosting the use of thermal spa and medical tourism as a fast answer to waiting lists within Europe. Europe happens to be the oldest and largest spa market in the world within a health care system as a tradition. Some EU countries face more challenges regarding waiting lists for spa/medical procedures, while others have capacity for more patients. Nevertheless, the use of thermal spas and visit to spa destinations should be promoted within the EU, particularly the post-covid recovery concept that has already proven to render results across Europe. 
Adapting current health care educational systems in Europe with the goal to close workforce gaps. Implementing doctors’ exchange programmes and attracting non-European medical students as tomorrow’s skilled workforce and medical tourism ambassadors should be stimulated. Some EU countries learned that attracting foreign students enhance image in medical tourism and build up succession planning of medical staff. It also reinforces liaisons between the countries and welcomes new global opportunities for medical tourism on global level. Moreover, medical staff is a scarce resource in the European Union while its population is getting older and requiring even more medical attention.  
Measurable result: 
- to establish a cooperation within the Universities with health tourism management, health tourism in general to collaborate and to exchange information and to deliver the result for european cooperation and optimization latest 2025.",Ready for publishing
314,22,"In the tourism sector the implementation of the Pact for Skills builds on the work and outcomes of the NEXT TOURISM GENERATION ALLIANCE project (of which Federturismo Confindustria is the leading partner), financed and supported by the EC in the framework of the European Blueprint for Sectoral Cooperation on Skills.
In particular, Federturismo Confindustria and the other NTG project partners have actively supported DG GROW not only in the launch phase of the Pact for Skills in the tourism sector, but also in its subsequent implementation phase.
Moreover, what is established at European level in the roundtables and meetings related to the development of the Pact for Skills in the tourism sector is then deployed at national and regional level by the National/Regional Skills Groups set up by the Next Tourism Generation Alliance, also in order to reach more quickly and involve more effectively the stakeholders of such a large and fragmented sector by capitalizing on the previous engagement work of the NTG project team.
Thus, in addition to making all its project outputs available to the various stakeholders, the NTG team is working on the Key Performance Indicators of the Pact for Skills in tourism, carrying out at the same time a Skills Intelligence Action, consisting of an activity of identification and continuous monitoring of the digital, green and social skills that companies most need.
Based on the milestones achieved in close collaboration with DG GROW, Federturismo Confindustria's concrete pledges will be in the coming years:
1) first of all, continue to actively support the National / Regional Skills Groups already established in 7 countries (Italy, Spain, Netherlands, Hungary, Bulgaria, Ireland, United Kingdom) as part of the NTG project;
2) secondly, by 2025 - as a member of the partnership ""Pact for Next Tourism Generation Skills"" (acronym PANTOUR, the new Sector Skills Alliance entrusted with the implementation of the Blueprint in the tourism industry for the next 4 years) - to promote the establishment and accompany the activities of new National / Regional Skills Groups in at least 4 additional countries (Finland, Greece, Belgium, Germany).",Published
315,22,"As FTO, we are committed to advancing the principles of the pact for skills, through the involvement of our member companies and all entities that gravitate around the world of organized tourism. We will work steadily until 2030 to:

- Promote the concept of Lifelong Learning;
- Intercept and analyze new skills in the sector;
- Support with adequate training the demand for new skills;
- Support gender equity and equal opportunities.",Ready for publishing
316,22,"The company aims to improve the communication and information flow to both its customers- internal and external. 
For the external customers the company will implement a digital app. The trial of the app will start in 2023 and will be in one of the hotels. Currently the company is in process of comparing, analyzing and choosing the most suitable app and provider. By 2025 the app should be implemented in the rest of the hotels which belong tot he group.
with regards to the internal customers, in season 2023 the company will make a newsletter for its employees which will be all digital. The newsletter and other employee communication will be provided to the team by a QR code. The aim of the company is to increase the awareness of digital transformation amongst employees and to upskill the staff and make communication quicker. The QR codes will be implemented until the end of the season as a trial.
For season 2023 a new training program for the animation team will be in place. The program is specially developed only for the Animation department  and it is a digital platform for training. The aim is  to ease the training process and make it more efficient and flexible for the employees.
By the year 2025 the company plans to implement new equipment for various departments and to use a new strategy for training the team by the method train the trainer.",Ready for publishing
317,22,"On 31 January 2022, the tourism industry, with the support of the European Commission, launched the Pact for Skills for the Tourism sector.
HOTREC co-signed the Pact. Some of the objectives include improving and extending the skills of the tourism workforce through high-quality vocational education; training and re/upskilling; raising awareness of training opportunities in all tourism services; detecting new skills needs at an early stage.
HOTREC commits to raising awareness of this initiative among all members (47 national associations spread in 36 different countries), and to collecting the interest of the associations willing to engage.
HOTREC also actively participates in the meetings organised by the initiative supporters, to further expand the Partnership and sharing practices developed at the national level.
We will continue exchanging experiences with our social partner, EFFAT, on the Pact for Skills, as well as on apprenticeship schemes developed at the national level, during the Sectoral Social Dialogue meetings organised three times a year.",Published
318,22,"NECSTouR and 7 of its member Regions supports the EU Pact for Skills – Skills Partnership for the Tourism Ecosystem. NECSTouR will focus on the first Key Performance Indicator of the Pact for skills in tourism (PfST) document which is supporting the constitution of National / Regional Skills Partnerships (NRSP).  To do so, we are 1/ participating in meetings to follow the progresses and implementation of the EU PfS; 2/ disseminating information, progresses and exchanges made during meetings 3/ encouraging members to support and join the PfS 4/ answering specific questions members can have or redirect them to the right place to ask questions.",Published
319,22,"The Austrian Hoteliers Association (ÖHV) offers trainings in all areas of the hotel industry with the ÖHV Campus. From management to staff, about 1000 people are trained in the ÖHV Campus every year. Our goal is to grow to 1300 people per year by 2025.",Published
320,22,"Extremadura has signed the Pact for Skills Charter and the Hospitality and Agrotourism Vocational School of Extremadura (ESHAEX) has joined the national partnership for tourism in order to contribute, as an active member, to the implementation of the Pact for Skills in the tourism sector. By 2023, the Vocational Training Schools of Extremadura, including ESHAEX, will offer Certificates of Professionalism and Training Specialization in areas that adjust to the real needs of businesses and the potential of the sector: Tourism Marketing; Sustainability; Quality and Professionalization and Innovation.",Published
321,22,"Action: Full participation to the European Skills Strategy in Tourism

Target: Membership of the National Skills Group and participation in the related plenary and operational subgroup works by 2025",Ready for publishing
322,22,"Regione Liguria, with its Job Sector, has realized the Pact for Job in Tourism. It’s a system created in 2018 to offer support to a strategic sector for the socio-economy of Liguria, favouring seasonal adjustment processes and the hiring of seasonal workers. In agreement with workers’ unions, private companies in the tourism sector can thus apply for employment bonuses for hires lasting at least 6 months a year. This Pact has produced good results and has become a best practice for other regions. Regione Liguria intends to continue with this pact to favour the employment level of the tourism sector and the quality of tourist reception. 
Each year at least an amount from 3 to 5 million euros is needed to adequately finance the public notice.
For skills in tourism there is not a “Pact Agreement”, but actions towards training of tourism professions and improvement of skills, especially in the sustainable field. Regione Liguria, with its Training Sector, Alfa (Regional Agency for Employment, Training and Accreditation) and with the main associations of tourism professions, works for the qualification of outdoor professionals, as a necessary improvement of the reception in Liguria destination and a support to the increase of sustainable tourism. Professional figures related to the outdoor segment include GAE (Hiking Guide), Tourist Cycling Instructor, Off-road Cycling Mountain bike Instructor and Marine Naturalist Tour Guide. Regione Liguria commits to continue raising awareness among training institutes and listening to training needs, especially of young people, in order to have new specialized figures who can lead to the conscious discovery of the territory. 18 training courses have been activated for specific professions relating to the outdoor segment, so new professionals of these typologies will be trained in 2023.",Published
323,22,"Pact for Skill in Tourism signed by the Training Sector of the Tuscany Region;
Link with the Necstour strategy: included in the Necstour work program
TARGET 2023-2025
participation in national partnerships and construction of the regional partnership",Published
324,22,"Our Chamber of commerce signed on January 2022 a Memorandum of understanding in the framework of the EU project NTG https://nexttourismgeneration.eu/
We are actually members of the board who will implement activities at national level in order to promote Pact for Skills and the toolkit developed by the project.
Our Chamber of commerce is partner of the Enterprise Europe Network (https://een.ec.europa.eu/)  will organize 3 living labs during 2022 with a local Mountain association in Piedmont: the focus will be Green and digital transition for mountain areas: during the last event a presentation about Pact for Skill Initiative in collaboration with NTG is foreseen.",Published
325,22,"• TUI Care Foundation will set up its online and open-source training platform called “TUI e-Academy” by 2023, to support the upskilling and reskilling of anyone working in the tourism industry. The TUI e-Academy will also help certify existing knowledge through its digital badges system. TUI will endorse these digital badges to add value to the certification that beneficiaries can earn through the platform, helping the industry to recognise learners of the TUI e-Academy platform. Furthermore, the TUI Care Foundation will offer course materials made by industry practitioners, providing innovative and thought-leading content for learners.
• TUI will launch its “TUI Sustainability Academy” by 2022, which will offer online learning modules for upskilling and reskilling. The platform will be made available for TUI employees first. After this first phase of implementation, the aim is to extend it to suppliers and partners of TUI Group.  
• TUI will launch the “TUI Sustainability Agenda Learning Module” by 2023, aimed at providing all TUI employees with a thorough understanding of the Group’s sustainability agenda and focus areas; with the aim of fostering engagement and coordination across business areas.",Published
326,22,"Actions:
Up/reskilling of the tourism workforce through joint European educative actions betweens universities, VETs and tourism businesses but also better preparation of graduates for the twin transition as well as resilience capacity building are planned to be integral components of 2.3 initiatives that we plan to prepare in 2023. Further, we plan to rely on European competence and qualification frameworks (GreenComp, DigComp 2.2, EntreComp, EQF) for the development of our learning resources. Most-likely, resources will be developed as (stackable) micro-units, taking into latest European recommendations for micro-credential establishment.

Targets 2025:
Involve 3+ universities, 3 VETs to engage in developing and renewing tourism education across min. 3 countries reaching out to 200+ learners (already active or supposedly soon becoming active tourism workforce)

Target Measures 2030:
Involving 6+ universities, 6 VETs to engage in developing and renewing tourism education across min. 6 countries 200+ learners (already active or supposedly soon becoming active tourism workforce)",Published
327,23,"In the first axis of Bordeaux roadmap (""assisting tourist attractions and facilities in transitioning to responsible
practices""), an action is dedicated to ""assist professionals in the tourism and events sectors in improving
their practices to increase sustainability"". A person is now dedicated full time at the tourist offer to bring consultancy, training and information on sustainable transition for professionals. The target is to get 50% of professionals who are members of the tourist office to join a sustainable approach in 2024 and 80% in 2026. This person will be able to advise Bordeaux's professionals with local, regional, national or international certifications and aids and bring the appropriate training. 

Here is the action-sheet (in French): https://fr.calameo.com/read/005365752988738931087?page=44",Published
328,23,"Promoting info points and desks to inform about opportunities to identify strategies and solutions useful to businesses in the sector. 

During 2023, CNA Turismo e Commercio – after the conclusion of the training and information cycles aimed at businesses - will promote listening points at its local offices aimed at providing information on opportunities, strategies and solutions helpful for the sector’s enterprises.  

The target is to promote at least 6 listening points by year 2023 covering all regions of Italy.",Ready for publishing
329,23,"As there is no one-stop-shop opportunities for agricultural estates engaged in hospitality services, our organization provides legal and consultancy support to all interested parties on a pro-bono basis. Until 2025, we plan to reorganize our association  to become an official one-stop-shop for all parties in need.",Published
330,23,"The course EnviroNaut project is developing aims to be a one-stop-shop for learning opportunities in the sustainable nautical tourism sector.
This online VET course, will be available from January 2024 online and free of charge.
This course, accessible to everyone, will award participants who take it and satisfactory complete the tests with a new qualification within the industry: “Environmental Officer”. 
Our current estimation is that from January 2024, each year around 100 people all over Europe will take the course and obtain this EU-wide qualification so much needed in the marine tourism sector",Published
331,23,"Linked with the topic 7, ETQA wishes to set up a European desk focused on the aspects of quality, digitalisation and sustainability addressing the tourist SMEs across Europe (concrete target 2025-2030), to be integrated with other relevant sectors like culture, art and gastronomy, among others",Ready for publishing
332,23,"Estonian Tourism Board has an e-Academy that is free to use for every Estonian Tourism entrepreneur, that has at least one service listed in VisitEstonia.com. The e-Academy at https://www.puhkaeestis.ee/et/turismiprofessionaalile/koolitused-ja-seminarid/visit-estonia-eakadeemia provides practical recommendations in eight areas: sales, marketing, accessibility, environment, products and services, collaboration, customer relations, management. In addition to that Estonian Tourism Boards offers numberous free, paid or partly supported trainings to tourism sector employees, shorter or longer, virtual and in-person, for managers and specialists, in very different acute topics, starting from customer communication to  green transition models: https://www.puhkaeestis.ee/et/turismiprofessionaalile/koolitused-ja-seminarid

Estonian Ministry of Education and Research offers every year free training and retraining courses in numerous topics, including tourism, mostly in vocal education, but also in universities. This program is co-funded from European Social Fund and in years 2014-2023 total 86 500 people are expected to take part in one or more of these courses. Preference is givern to people with lower education, who have less opportunities to participate in trainings. https://www.hm.ee/et/tegevused/taiskasvanuharidus/tasuta-kursused.",Published
333,23,"Specifically, in PANTOUR we are responsible for the development of an IT-based platform that gathers all relevant information for training and skills development in tourism under a usability perspective of endusers from the micro and nano services, small-medium training providers, and policy makers.   This includes access to direct information and contact for training / learning opportunities.

Delivery commitment 2 years for design + 2 years for development.",Published
334,23,"ONE-STOP SHOP FOR SMALL AND MEDIUM-SIZED ENTREPRENEURS IN THE AREA OF TOURISM
Current situation: The City of Zagreb is implementing stimulating measures and activities aimed at growth and development of crafts and small and medium-sized enterprises by providing support in the creation of new values and by mitigating the accompanying risks through the Stimulation programme for the development of crafts and small and medium-sized entrepreneurs in the City of Zagreb. A large part of the Programme measures and activities are implemented by the Zagreb Innovation Centre (ZICER), an entrepreneurial support institution fully owned by the City of Zagreb. ZICER provides support to innovative ideas and development teams at the beginning of entrepreneurship activity; it provides the premises for their activity, education, business advice and networking, as well as a completely free-of-charge support for transforming their business ideas in an entrepreneurial venture. ZICER currently lacks: sectoral approach in the area of tourism, targeted measures for entrepreneurs in tourism and specific programmes for them. 
Measure: The City of Zagreb will create policies and programmes tailored to this sector and, by setting up a One-stop Shop for entrepreneurs in tourism, it will ensure the education needed, the support and financing, as well as the implementation of projects which enhance and stimulate the solutions in tourism based on sustainability principles.
Objective: Setting up of the One-stop Shop for entrepreneurs in tourism by 2025.",Published
335,23,"Unioncamere, through Dintec, is committed to the creation of a platform called Matching Impresa Ricerca – MIR, that will allow companies “meet” and be profiled by the Chambers of Commerce, to be accompanied to more targeted consulting services, and activated, through a platform, which bridges collaboration channels between the PID network (PID - Punto impresa digitale) of the Chambers of Commerce and the main research institutions that have joined the initiative. The initiative is not exclusively targeted to tourism SMEs. Thanks to the platform, the Chambers of Commerce will help companies to whose transformation needs will directly respond all the departments of the CNR and ENEA (the two main Italian research institutions)  through their research teams that will take charge of the SMEs’demands.

The tools are the starting point of activities aimed at supporting digitalisation of SMEs in the tourism ecosystem. Their use is not finalised at awareness raising but rather as an initial assessment to implement futher tailored support.

We plan to extend participation to the platform to other laboratories and research institutions, and universities in Italy. The platform will be in testing end of 2022 and is scheduled for launch in 2023. In the pilot phase expected impact is difficult to assess and usually redefined using data a year from launch. With current information, we expect to support for tailored counseling at least 15 companies in the tourism sector to be involved by 2025 and 65 by 2030.",Ready for publishing
336,23,The combination of the programme we are implementing right now - focused on digital and green transformation - will enable the up-skill of at least 500 companies and professionals in the tourism sector by the end of 2024.,Published
